
Episode 500 finished after 340 time steps with total reward = -9887.00, explorations = 134, exploitations = 156, last epsilon used = 0.6675091808180759.
Episode 600 finished after 98 time steps with total reward = -9924.00, explorations = 7, exploitations = 86, last epsilon used = 0.6211155405084027.
Episode 700 finished after 283 time steps with total reward = -9885.00, explorations = 90, exploitations = 162, last epsilon used = 0.5825908266400397.
Episode 800 finished after 248 time steps with total reward = -9884.00, explorations = 58, exploitations = 146, last epsilon used = 0.5302974457351142.
Episode 900 finished after 203 time steps with total reward = -9883.00, explorations = 38, exploitations = 148, last epsilon used = 0.48125127508828036.
Episode 0 finished after 230 time steps with total reward = -9889.00, explorations = 73, exploitations = 139, last epsilon used = 1.
Episode 100 finished after 69 time steps with total reward = -9963.00, explorations = 5, exploitations = 56, last epsilon used = 0.05.
Episode 200 finished after 677 time steps with total reward = -9890.00, explorations = 345, exploitations = 195, last epsilon used = 0.8244023623910088.
Episode 300 finished after 406 time steps with total reward = -9884.00, explorations = 154, exploitations = 196, last epsilon used = 0.7496535623221505.
Episode 400 finished after 703 time steps with total reward = -9837.00, explorations = 309, exploitations = 264, last epsilon used = 0.6830476698153162.
Episode 500 finished after 188 time steps with total reward = -9883.00, explorations = 44, exploitations = 125, last epsilon used = 0.6317701402576925.
Episode 600 finished after 214 time steps with total reward = -9884.00, explorations = 50, exploitations = 153, last epsilon used = 0.573338959119908.
Episode 700 finished after 363 time steps with total reward = -9843.00, explorations = 105, exploitations = 218, last epsilon used = 0.5197916513571034.
Episode 800 finished after 163 time steps with total reward = -9883.00, explorations = 18, exploitations = 138, last epsilon used = 0.47171714102654755.
Episode 900 finished after 162 time steps with total reward = -9884.00, explorations = 9, exploitations = 144, last epsilon used = 0.4310975930397502.
Episode 0 finished after 150 time steps with total reward = -9883.00, explorations = 2, exploitations = 139, last epsilon used = 0.05.
Episode 100 finished after 656 time steps with total reward = -9843.00, explorations = 412, exploitations = 164, last epsilon used = 0.9920279440699441.
Episode 200 finished after 1120 time steps with total reward = -9844.00, explorations = 797, exploitations = 182, last epsilon used = 0.9743224148844496.
Episode 300 finished after 163 time steps with total reward = -9884.00, explorations = 9, exploitations = 143, last epsilon used = 0.05.
Episode 400 finished after 655 time steps with total reward = -9866.00, explorations = 384, exploitations = 170, last epsilon used = 0.9379749638258457.
Episode 500 finished after 160 time steps with total reward = -9886.00, explorations = 5, exploitations = 142, last epsilon used = 0.05.
Episode 600 finished after 160 time steps with total reward = -9888.00, explorations = 5, exploitations = 141, last epsilon used = 0.05.
Episode 700 finished after 631 time steps with total reward = -9842.00, explorations = 348, exploitations = 203, last epsilon used = 0.8377055948310879.
Episode 800 finished after 86 time steps with total reward = -9934.00, explorations = 5, exploitations = 73, last epsilon used = 0.05.
Episode 900 finished after 368 time steps with total reward = -9839.00, explorations = 141, exploitations = 189, last epsilon used = 0.7052699677998009.
Episode 0 finished after 1070 time steps with total reward = -9857.00, explorations = 752, exploitations = 175, last epsilon used = 1.
Episode 100 finished after 1068 time steps with total reward = -9845.00, explorations = 707, exploitations = 246, last epsilon used = 0.9075119613694457.
Episode 200 finished after 565 time steps with total reward = -9847.00, explorations = 298, exploitations = 196, last epsilon used = 0.8252275899809898.
Episode 300 finished after 426 time steps with total reward = -9842.00, explorations = 144, exploitations = 236, last epsilon used = 0.7481550048510686.
Episode 400 finished after 712 time steps with total reward = -9842.00, explorations = 339, exploitations = 277, last epsilon used = 0.6816822575233553.
Episode 500 finished after 281 time steps with total reward = -9847.00, explorations = 66, exploitations = 193, last epsilon used = 0.6192540566123834.
Episode 600 finished after 533 time steps with total reward = -9817.00, explorations = 164, exploitations = 284, last epsilon used = 0.561418483038787.
Episode 700 finished after 1211 time steps with total reward = -9766.00, explorations = 417, exploitations = 554, last epsilon used = 0.5094939886915886.
Episode 800 finished after 71 time steps with total reward = -9964.00, explorations = 5, exploitations = 59, last epsilon used = 0.05.
Episode 900 finished after 220 time steps with total reward = -9838.00, explorations = 29, exploitations = 181, last epsilon used = 0.4196080198534616.
Episode 0 finished after 228 time steps with total reward = -9844.00, explorations = 28, exploitations = 185, last epsilon used = 1.
Episode 100 finished after 295 time steps with total reward = -9840.00, explorations = 62, exploitations = 198, last epsilon used = 0.9129761418240965.
Episode 200 finished after 1118 time steps with total reward = -9808.00, explorations = 623, exploitations = 330, last epsilon used = 0.8326919101044725.
Episode 300 finished after 69 time steps with total reward = -9964.00, explorations = 4, exploitations = 58, last epsilon used = 0.05.
Episode 400 finished after 717 time steps with total reward = -9760.00, explorations = 308, exploitations = 313, last epsilon used = 0.6899158648955466.
Episode 500 finished after 871 time steps with total reward = -9768.00, explorations = 355, exploitations = 382, last epsilon used = 0.6273609943589779.
Episode 600 finished after 227 time steps with total reward = -9841.00, explorations = 28, exploitations = 191, last epsilon used = 0.5710490410244006.
Episode 700 finished after 301 time steps with total reward = -9840.00, explorations = 46, exploitations = 216, last epsilon used = 0.5255438149533099.
Episode 800 finished after 463 time steps with total reward = -9761.00, explorations = 123, exploitations = 296, last epsilon used = 0.47789260561247826.
Episode 900 finished after 492 time steps with total reward = -9758.00, explorations = 107, exploitations = 342, last epsilon used = 0.43499694211384704.
Episode 0 finished after 260 time steps with total reward = -9812.00, explorations = 30, exploitations = 215, last epsilon used = 1.
Episode 100 finished after 916 time steps with total reward = -9807.00, explorations = 495, exploitations = 295, last epsilon used = 0.9277086733900016.
Episode 200 finished after 896 time steps with total reward = -9767.00, explorations = 439, exploitations = 309, last epsilon used = 0.8529285032149548.
Episode 300 finished after 795 time steps with total reward = -9761.00, explorations = 361, exploitations = 335, last epsilon used = 0.7857468750083979.
